Figure 6.1:
Batch size : 20
(8, 29.18)
(9, 31.68)
(10, 33.3)
(11, 35.18)
(12, 38.2)
(13, 40.5)
(14, 41.94)
(15, 44)
(16, 47.42)
(17, 49.4)
(18, 50.7)
(19, 53.66)
(20, 55.64)
(21, 57.76)
(22, 60.38)
(23, 61.6)
(24, 64.32)
(25, 66.44)
(26, 69.18)
(27, 72.4)
(28, 74.28)
(29, 76.34)
(30, 78.34)
(31, 80.7)
(32, 82.36)
(33, 84.96)
(34, 87.84)
(35, 89.46)
(36, 90.8)
(37, 94.32)
(38, 95.44)
(39, 97.36)
(40, 99.38)
(41, 102.7)
(42, 104.68)
(43, 106.78)
(44, 108.6)
(45, 111.38)
(46, 113.48)
(47, 115.38)
(48, 117.02)
(49, 118.3)
(50, 121.16)
Two-Choice:
(1, 8.36)
(2, 10.64)
(3, 12.78)
(4, 14.46)
(5, 15.98)
(6, 17.62)
(7, 18.52)
(8, 20.16)
(9, 21.46)
(10, 22.84)
(11, 24.2)
(12, 25.52)
(13, 26.42)
(14, 27.56)
(15, 28.26)
(16, 29.72)
(17, 30.4)
(18, 32.18)
(19, 32.64)
(20, 33.86)
(21, 34.54)
(22, 36.18)
(23, 36.96)
(24, 38.12)
(25, 39.46)
(26, 40.04)
(27, 41.38)
(28, 41.88)
(29, 43.26)
(30, 43.7)
(31, 45.52)
(32, 46.32)
(33, 46.76)
(34, 47.12)
(35, 48.56)
(36, 49.66)
(37, 50.92)
(38, 51.9)
(39, 53.5)
(40, 54.14)
(41, 54.92)
(42, 55.34)
(43, 56.42)
(44, 57.84)
(45, 58.94)
(46, 59.88)
(47, 60.96)
(48, 61.9)
(49, 63.46)
(50, 64.92)
(1+beta) with beta = 0.5:
(1, 11.22)
(2, 11.76)
(3, 12.24)
(4, 12.78)
(5, 13.38)
(6, 14.38)
(7, 15.2)
(8, 16.02)
(9, 16.82)
(10, 17.68)
(11, 18.26)
(12, 19.32)
(13, 19.66)
(14, 20.44)
(15, 21.18)
(16, 22.16)
(17, 22.82)
(18, 22.9)
(19, 23.64)
(20, 24.94)
(21, 25.46)
(22, 26.1)
(23, 26.58)
(24, 26.94)
(25, 28.18)
(26, 28.64)
(27, 29.74)
(28, 29.74)
(29, 30.36)
(30, 30.7)
(31, 31.56)
(32, 32.18)
(33, 33.12)
(34, 32.8)
(35, 32.9)
(36, 33.36)
(37, 33.6)
(38, 34.8)
(39, 35.3)
(40, 35.88)
(41, 36.48)
(42, 36.64)
(43, 37.02)
(44, 37.84)
(45, 38.76)
(46, 39.52)
(47, 39.6)
(48, 39.6)
(49, 40.44)
(50, 40.98)
(1+beta) with beta = sqrt( (n/b) log n ):
(1, 8.2)
(2, 10.82)
(3, 12.82)
(4, 14.86)
(5, 16.48)
(6, 17.68)
(7, 19.04)
(8, 19.78)
(9, 19.92)
(10, 20.74)
(11, 21.54)
(12, 21.92)
(13, 22.92)
(14, 23.14)
(15, 23.88)
(16, 24.52)
(17, 25.08)
(18, 25.26)
(19, 26.46)
(20, 26.64)
(21, 27.08)
(22, 27.16)
(23, 27.68)
(24, 27.86)
(25, 28.7)
(26, 28.66)
(27, 29.34)
(28, 29.28)
(29, 30.14)
(30, 30.46)
(31, 30.02)
(32, 30.48)
(33, 30.74)
(34, 31.8)
(35, 31.6)
(36, 32.44)
(37, 32.54)
(38, 33.24)
(39, 32.96)
(40, 33.46)
(41, 34.1)
(42, 34.38)
(43, 34.9)
(44, 35.1)
(45, 34.5)
(46, 35.04)
(47, 34.94)
(48, 35.72)
(49, 36.22)
(50, 36.02)
(1+beta) with beta = 0.7 sqrt( (n/b) log n ):
(1, 8.2)
(2, 10.82)
(3, 12.82)
(4, 14.18)
(5, 14.8)
(6, 15.38)
(7, 16.62)
(8, 17.22)
(9, 17.76)
(10, 18.52)
(11, 18.74)
(12, 19.56)
(13, 20)
(14, 20.82)
(15, 20.68)
(16, 21.6)
(17, 21.88)
(18, 22.82)
(19, 23.5)
(20, 23.26)
(21, 24.02)
(22, 24.24)
(23, 24.44)
(24, 25.02)
(25, 25.56)
(26, 26.34)
(27, 26.6)
(28, 26.64)
(29, 26.66)
(30, 26.92)
(31, 27.5)
(32, 27.88)
(33, 28.44)
(34, 28.94)
(35, 28.54)
(36, 29)
(37, 29.18)
(38, 29.38)
(39, 29.86)
(40, 30.26)
(41, 29.96)
(42, 30.32)
(43, 30.5)
(44, 30.84)
(45, 31.4)
(46, 31.52)
(47, 31.98)
(48, 32.22)
(49, 32.46)
(50, 32.3)

Figure 6.4:
Three-Choice:
(1, 18.6325)
(2, 23.2266)
(3, 26.0205)
(4, 30.2197)
(5, 32.0018)
(6, 35.9593)
(7, 37.8054)
(8, 40.5207)
(9, 42.6933)
(10, 44.8273)
(11, 46.4443)
(12, 49.773)
(13, 50.8942)
(14, 53.3752)
(15, 56.466)
(16, 59.3468)
(17, 61.7905)
(18, 63.1709)
(19, 65.7191)
(20, 67.5913)
(21, 70.0269)
(22, 71.8374)
(23, 75.8527)
(24, 77.3394)
(25, 79.4821)
(26, 80.9432)
(27, 81.4602)
(28, 85.5763)
(29, 87.0494)
(30, 88.4442)
(31, 91.9798)
(32, 94.834)
(33, 96.5949)
(34, 98.8774)
(35, 101.384)
(36, 102.419)
(37, 105.444)
(38, 108.362)
(39, 110.19)
(40, 112.6)
(41, 113.689)
(42, 117.558)
(43, 119.94)
(44, 122.039)
(45, 122.54)
(46, 126.406)
(47, 128.689)
(48, 131.404)
(49, 134.11)
(50, 136.155)
Two-Choice:
(1, 17.9852)
(2, 20.5426)
(3, 22.7992)
(4, 24.5861)
(5, 26.68)
(6, 28.5306)
(7, 29.5595)
(8, 31.2248)
(9, 32.2014)
(10, 33.9004)
(11, 35.8127)
(12, 36.3155)
(13, 37.7098)
(14, 38.9495)
(15, 39.7245)
(16, 42.0631)
(17, 42.3191)
(18, 43.3623)
(19, 44.8559)
(20, 46.517)
(21, 46.9138)
(22, 48.3683)
(23, 48.9367)
(24, 51.1236)
(25, 52.7104)
(26, 52.9233)
(27, 54.1655)
(28, 54.7784)
(29, 56.7282)
(30, 58.0522)
(31, 58.6911)
(32, 59.0333)
(33, 60.1703)
(34, 60.938)
(35, 61.9552)
(36, 62.6388)
(37, 64.5739)
(38, 65.0767)
(39, 66.448)
(40, 67.345)
(41, 69.6219)
(42, 68.7284)
(43, 68.9875)
(44, 70.2328)
(45, 72.8217)
(46, 72.0714)
(47, 73.9863)
(48, 74.6509)
(49, 75.2205)
(50, 76.9167)
(1+beta) with beta=0.5:
(1, 25.7374)
(2, 26.0538)
(3, 26.1903)
(4, 26.8197)
(5, 26.8453)
(6, 27.4393)
(7, 28.067)
(8, 29.1902)
(9, 29.2118)
(10, 29.8572)
(11, 30.5814)
(12, 31.4591)
(13, 32.4931)
(14, 33.5732)
(15, 34.1186)
(16, 34.3386)
(17, 34.8909)
(18, 35.0532)
(19, 36.8786)
(20, 37.3879)
(21, 37.4708)
(22, 37.8628)
(23, 40.2654)
(24, 41.3434)
(25, 41.0663)
(26, 41.7678)
(27, 41.7439)
(28, 43.3021)
(29, 43.5879)
(30, 44.1629)
(31, 44.665)
(32, 45.0558)
(33, 46.5789)
(34, 46.6355)
(35, 47.0593)
(36, 47.994)
(37, 48.6831)
(38, 49.3215)
(39, 49.1027)
(40, 49.643)
(41, 50.8675)
(42, 51.79)
(43, 52.0194)
(44, 51.3549)
(45, 52.6928)
(46, 53.1104)
(47, 54.909)
(48, 55.4106)
(49, 55.1246)
(50, 54.9844)
(1+beta) with beta = sqrt( (n/b) log n ):
(1, 17.544)
(2, 20.5204)
(3, 22.7659)
(4, 24.7689)
(5, 26.6275)
(6, 29.0689)
(7, 29.3354)
(8, 30.794)
(9, 31.2601)
(10, 32.4138)
(11, 33.3182)
(12, 33.8413)
(13, 34.7237)
(14, 34.8463)
(15, 35.3634)
(16, 36.3338)
(17, 36.9804)
(18, 37.08)
(19, 37.3452)
(20, 38.559)
(21, 38.7129)
(22, 39.5577)
(23, 40.0742)
(24, 41.2709)
(25, 41.47)
(26, 41.5708)
(27, 42.3407)
(28, 42.6767)
(29, 43.4319)
(30, 44.6867)
(31, 43.9452)
(32, 44.0026)
(33, 44.6071)
(34, 44.5113)
(35, 45.3588)
(36, 45.9967)
(37, 46.0007)
(38, 47.0191)
(39, 47.4157)
(40, 47.1469)
(41, 47.4616)
(42, 49.032)
(43, 47.588)
(44, 48.0169)
(45, 48.2257)
(46, 50.4396)
(47, 49.8984)
(48, 50.4994)
(49, 49.8935)
(50, 49.6632)
(1+beta) with beta = 0.7 sqrt( (n/b) log n ):
(1, 17.544)
(2, 20.5204)
(3, 22.7659)
(4, 24.4335)
(5, 25.0499)
(6, 25.8959)
(7, 27.254)
(8, 29.1533)
(9, 28.9989)
(10, 29.1902)
(11, 30.6094)
(12, 31.0674)
(13, 31.4124)
(14, 32.8131)
(15, 33.9832)
(16, 34.258)
(17, 35.1913)
(18, 34.8077)
(19, 35.5162)
(20, 36.9395)
(21, 36.9557)
(22, 38.2821)
(23, 37.9776)
(24, 38.7918)
(25, 39.9048)
(26, 40.0165)
(27, 39.79)
(28, 41.0004)
(29, 41.6993)
(30, 42.1981)
(31, 42.0932)
(32, 43.9481)
(33, 43.5941)
(34, 44.1673)
(35, 44.2871)
(36, 44.9395)
(37, 45.8795)
(38, 45.0483)
